movieId,avg_rating
88448,5.0
100556,5.0
143031,5.0
143511,5.0
143559,5.0
6201,5.0
102217,5.0
102084,5.0
6192,5.0
145994,5.0
100906,5.0
146662,5.0
99636,5.0
31522,5.0
146684,5.0
147196,5.0
147250,5.0
147286,5.0
147300,5.0
147326,5.0
147328,5.0
67618,5.0
4495,5.0
103602,5.0
64501,5.0
64499,5.0
140133,5.0
140265,5.0
6408,5.0
6402,5.0
60737,5.0
140627,5.0
33649,5.0
141718,5.0
104780,5.0
141816,5.0
3795,5.0
3792,5.0
4454,5.0
2512,5.0
141928,5.0
33138,5.0
142020,5.0
2824,5.0
142444,5.0
147330,5.0
3687,5.0
162414,5.0
157775,5.0
27320,5.0
152711,5.0
71268,5.0
26928,5.0
156025,5.0
26849,5.0
72142,5.0
26840,5.0
96430,5.0
158027,5.0
876,5.0
3073,5.0
158398,5.0
158882,5.0
72692,5.0
159811,5.0
95843,5.0
73822,5.0
160644,5.0
74226,5.0
96608,5.0
3637,5.0
96832,5.0
151769,5.0
147410,5.0
6086,5.0
27751,5.0
69211,5.0
4788,5.0
3678,5.0
6021,5.0
27704,5.0
69469,5.0
69860,5.0
4813,5.0
149350,5.0
149508,5.0
149566,5.0
150554,5.0
27523,5.0
96935,5.0
70451,5.0
27373,5.0
34312,5.0
139640,5.0
138966,5.0
44943,5.0
1759,5.0
47736,5.0
112512,5.0
124404,5.0
124851,5.0
126088,5.0
45503,5.0
126921,5.0
1631,5.0
44851,5.0
138835,5.0
128087,5.0
496,5.0
495,5.0
109687,5.0
109633,5.0
128914,5.0
42556,5.0
129514,5.0
3951,5.0
122092,5.0
121781,5.0
633,5.0
6983,5.0
4180,5.0
50999,5.0
6835,5.0
117531,5.0
118270,5.0
115727,5.0
53280,5.0
118834,5.0
53355,5.0
114265,5.0
118894,5.0
4135,5.0
53578,5.0
113829,5.0
120130,5.0
120138,5.0
6611,5.0
626,5.0
4116,5.0
3942,5.0
3941,5.0
109241,5.0
107771,5.0
134109,5.0
134796,5.0
134847,5.0
3851,5.0
136341,5.0
136353,5.0
136355,5.0
136359,5.0
136445,5.0
136447,5.0
136469,5.0
136503,5.0
6442,5.0
136556,5.0
136834,5.0
136850,5.0
59814,5.0
7122,5.0
138632,5.0
134095,5.0
134004,5.0
3940,5.0
40491,5.0
3939,5.0
130970,5.0
108795,5.0
130978,5.0
467,5.0
131098,5.0
131130,5.0
131237,5.0
131610,5.0
7071,5.0
131724,5.0
108078,5.0
132153,5.0
132333,5.0
2969,5.0
4402,5.0
2972,5.0
107951,5.0
7096,5.0
162344,5.0
6818,5.0
3567,5.0
5088,5.0
92494,5.0
173963,5.0
25906,5.0
174551,5.0
25887,5.0
3473,5.0
93008,5.0
93022,5.0
5241,5.0
93320,5.0
175293,5.0
5244,5.0
77846,5.0
78836,5.0
175387,5.0
175397,5.0
175431,5.0
5745,5.0
5723,5.0
176601,5.0
87834,5.0
167064,5.0
86721,5.0
91355,5.0
53,5.0
7815,5.0
25947,5.0
173619,5.0
179135,5.0
26078,5.0
91386,5.0
172583,5.0
79897,5.0
172585,5.0
171749,5.0
172587,5.0
172589,5.0
26147,5.0
172637,5.0
26169,5.0
172705,5.0
172793,5.0
26073,5.0
1310,5.0
90943,5.0
172875,5.0
148,5.0
172909,5.0
80124,5.0
170777,5.0
99,5.0
173351,5.0
2075,5.0
173355,5.0
5746,5.0
170597,5.0
179133,5.0
3496,5.0
76091,5.0
3303,5.0
86668,5.0
85295,5.0
95311,5.0
163925,5.0
2196,5.0
5513,5.0
26587,5.0
82744,5.0
184245,5.0
1140,5.0
3086,5.0
163386,5.0
8238,5.0
163112,5.0
163072,5.0
83969,5.0
3531,5.0
187717,5.0
1151,5.0
1349,5.0
5416,5.0
84512,5.0
5490,5.0
84273,5.0
5468,5.0
8580,5.0
95175,5.0
172577,5.0
5537,5.0
5607,5.0
165959,5.0
26366,5.0
166183,5.0
94810,5.0
3096,5.0
8804,5.0
26401,5.0
5888,5.0
86237,5.0
8738,5.0
95149,5.0
164367,5.0
26350,5.0
5059,5.0
8911,5.0
5889,5.0
5328,5.0
6460,4.9
26810,4.833333333333333
115122,4.833333333333333
177593,4.75
3224,4.75
172591,4.75
7121,4.75
185135,4.75
5772,4.75
174053,4.75
44889,4.75
40412,4.75
126430,4.75
3302,4.75
3855,4.75
4298,4.75
670,4.75
97866,4.75
32582,4.75
7486,4.75
64197,4.75
7767,4.75
100882,4.75
73881,4.75
5915,4.75
147376,4.75
166024,4.75
74727,4.75
30745,4.75
6254,4.75
142115,4.75
74282,4.75
31364,4.7
1105,4.666666666666667
2239,4.666666666666667
59141,4.666666666666667
5833,4.666666666666667
